kappa_p,alpha_p,excess,f(p),Q(f(p)),identity_p
w**w**54,w**w**30 + 1,1,131,[131],$\left[\omega^{\omega^{54}}\right]^{263}=\omega^{\omega^{30}}+1$
w**w**55,w**w**17 + 1,1,268,[67],$\left[\omega^{\omega^{55}}\right]^{269}=\omega^{\omega^{17}}+1$
w**w**56,w**w + w**9,0,135,"[5, 27]",$\left[\omega^{\omega^{56}}\right]^{271}=\omega^{\omega}+\omega^{9}$
w**w**57,w**w**7 + 1,1,92,[23],$\left[\omega^{\omega^{57}}\right]^{277}=\omega^{\omega^{7}}+1$
w**w**58,w**w**2 + w**w,0,70,"[7, 5]",$\left[\omega^{\omega^{58}}\right]^{281}=\omega^{\omega^{2}}+\omega^{\omega}$
w**w**59,w**w**13 + 1,1,94,[47],$\left[\omega^{\omega^{59}}\right]^{283}=\omega^{\omega^{13}}+1$
w**w**60,w**w**19 + 4,0,292,"[73, 4]",$\left[\omega^{\omega^{60}}\right]^{293}=\omega^{\omega^{19}}+4$
w**w**61,w**w**5 + w,0,102,"[17, 3]",$\left[\omega^{\omega^{61}}\right]^{307}=\omega^{\omega^{5}}+\omega$
w**w**62,w**w**9 + 1,1,155,[31],$\left[\omega^{\omega^{62}}\right]^{311}=\omega^{\omega^{9}}+1$
w**w**63,w**w**4 + 1,1,156,[13],$\left[\omega^{\omega^{63}}\right]^{313}=\omega^{\omega^{4}}+1$
w**w**64,w**w**20 + 1,1,316,[79],$\left[\omega^{\omega^{64}}\right]^{317}=\omega^{\omega^{20}}+1$
w**w**65,w**w + w,0,30,"[5, 3]",$\left[\omega^{\omega^{65}}\right]^{331}=\omega^{\omega}+\omega$
w**w**66,w**w**2 + 1,1,21,[7],$\left[\omega^{\omega^{66}}\right]^{337}=\omega^{\omega^{2}}+1$
w**w**67,w**w**38 + 1,1,346,[173],$\left[\omega^{\omega^{67}}\right]^{347}=\omega^{\omega^{38}}+1$
w**w**68,w**w**8 + 1,1,348,[29],$\left[\omega^{\omega^{68}}\right]^{349}=\omega^{\omega^{8}}+1$
w**w**69,w**w**3 + 16,0,88,"[11, 8]",$\left[\omega^{\omega^{69}}\right]^{353}=\omega^{\omega^{3}}+16$
w**w**70,w**w**39 + 1,1,179,[179],$\left[\omega^{\omega^{70}}\right]^{359}=\omega^{\omega^{39}}+1$
w**w**71,w**w**16 + 1,1,183,[61],$\left[\omega^{\omega^{71}}\right]^{367}=\omega^{\omega^{16}}+1$
w**w**72,w**w**9 + w,0,372,"[31, 3]",$\left[\omega^{\omega^{72}}\right]^{373}=\omega^{\omega^{9}}+\omega$
w**w**73,w**w**2 + w**9,0,378,"[7, 27]",$\left[\omega^{\omega^{73}}\right]^{379}=\omega^{\omega^{2}}+\omega^{9}$
w**w**74,w**w**41 + 1,1,191,[191],$\left[\omega^{\omega^{74}}\right]^{383}=\omega^{\omega^{41}}+1$
w**w**75,w**w**23 + 1,1,388,[97],$\left[\omega^{\omega^{75}}\right]^{389}=\omega^{\omega^{23}}+1$
w**w**76,w**w**3 + 1,1,44,[11],$\left[\omega^{\omega^{76}}\right]^{397}=\omega^{\omega^{3}}+1$
w**w**77,w**(w*5) + 16,0,200,"[25, 8]",$\left[\omega^{\omega^{77}}\right]^{401}=\omega^{\omega\cdot5}+16$
w**w**78,w**w**5 + w,0,204,"[17, 3]",$\left[\omega^{\omega^{78}}\right]^{409}=\omega^{\omega^{5}}+\omega$
w**w**79,w**w**6 + w**w**3,0,418,"[19, 11]",$\left[\omega^{\omega^{79}}\right]^{419}=\omega^{\omega^{6}}+\omega^{\omega^{3}}$
w**w**80,w**w**2 + w**w,0,420,"[7, 5]",$\left[\omega^{\omega^{80}}\right]^{421}=\omega^{\omega^{2}}+\omega^{\omega}$
w**w**81,w**w**12 + 1,1,43,[43],$\left[\omega^{\omega^{81}}\right]^{431}=\omega^{\omega^{12}}+1$
w**w**82,w**3 + 16,0,72,"[9, 8]",$\left[\omega^{\omega^{82}}\right]^{433}=\omega^{3}+16$
w**w**83,w**w**19 + 1,1,73,[73],$\left[\omega^{\omega^{83}}\right]^{439}=\omega^{\omega^{19}}+1$
w**w**84,w**w**5 + w**w**4,0,442,"[17, 13]",$\left[\omega^{\omega^{84}}\right]^{443}=\omega^{\omega^{5}}+\omega^{\omega^{4}}$
w**w**85,w**w**2 + 65536,0,224,"[7, 32]",$\left[\omega^{\omega^{85}}\right]^{449}=\omega^{\omega^{2}}+65536$
w**w**86,w**w**6 + 1,1,76,[19],$\left[\omega^{\omega^{86}}\right]^{457}=\omega^{\omega^{6}}+1$
w**w**87,w**w**7 + 1,1,460,[23],$\left[\omega^{\omega^{87}}\right]^{461}=\omega^{\omega^{7}}+1$
w**w**88,w**w**3 + w**w**2,0,231,"[11, 7]",$\left[\omega^{\omega^{88}}\right]^{463}=\omega^{\omega^{3}}+\omega^{\omega^{2}}$
w**w**89,w**w**49 + 1,1,466,[233],$\left[\omega^{\omega^{89}}\right]^{467}=\omega^{\omega^{49}}+1$
w**w**90,w**w**50 + 1,1,239,[239],$\left[\omega^{\omega^{90}}\right]^{479}=\omega^{\omega^{50}}+1$
w**w**91,w**81 + 1,1,243,[243],$\left[\omega^{\omega^{91}}\right]^{487}=\omega^{81}+1$
